time,u,y,ydot,i
3.8836111,1.023895,-0.010893012,0.015954043,0.52221615
3.9236984,1.0398469,-0.010270375,0.014977127,0.52074768
3.9718002,1.0319023,-0.0095745024,0.013823261,0.51948047
4.0266874,0.99002082,-0.0088412254,0.012519035,0.51862837
4.0776854,0.93847377,-0.0082123422,0.011371087,0.51811568
4.1193965,0.98351338,-0.0077373984,0.010864129,0.51646393
4.1576191,1.0188841,-0.007326748,0.01041972,0.51508422
4.201301,1.0221963,-0.0068824244,0.0098029086,0.51410955
4.254108,1.0009303,-0.0063797141,0.0090081818,0.51337662
4.3087928,0.93782208,-0.0058950405,0.0080699356,0.51330467
4.3548822,0.93816302,-0.0055177704,0.0075431336,0.51250703
4.3934701,0.99447376,-0.0052236753,0.0073612899,0.51104673
4.4333634,1.0117794,-0.0049339588,0.0070251886,0.51017931
4.4819558,1.0050375,-0.0046010908,0.0065293768,0.50958107
4.5376753,0.96126985,-0.0042446495,0.0058477405,0.50948761
4.5888807,0.90719937,-0.0039402194,0.0051964482,0.50965769
4.6301591,0.96134149,-0.0037161475,0.0051026755,0.50837655
4.6679692,0.99931111,-0.0035216914,0.0049834372,0.50740027
4.7117589,1.0035944,-0.0033071087,0.0046974139,0.50688603
4.7652051,0.98253225,-0.0030613306,0.0042631743,0.50668574
4.8203926,0.91496514,-0.0028237861,0.0036492801,0.50719909
4.8663101,0.91951208,-0.0026433435,0.0034132302,0.50675188
4.904465,0.98079801,-0.0025055919,0.003469963,0.50554533
4.9441893,0.99888326,-0.0023674963,0.0033485225,0.50498502
4.9931,0.99269966,-0.002206365,0.0030948484,0.50473968
5.0493935,0.94701323,-0.0020321044,0.0026602098,0.50505829
5.0903565,0.97885386,-0.0019175771,0.0026291504,0.50434108
5.1313196,0.99416643,-0.0018087271,0.0025379787,0.50388341
5.1803643,0.98714656,-0.0016851335,0.0023341177,0.50372921
5.2352653,0.94584039,-0.0015547262,0.0019795233,0.50407419
5.2854423,0.90624899,-0.001443928,0.0016598631,0.50443446
5.3267526,0.95528399,-0.001363216,0.001747654,0.50353042
5.3654686,0.9877481,-0.0012911514,0.0017789322,0.50289314
5.4101667,0.99104022,-0.001210914,0.0016786489,0.5026756
5.4635781,0.96894358,-0.0011200467,0.0014589206,0.50281595
5.5176603,0.90918634,-0.0010325664,0.0010888863,0.50352751
5.5629094,0.92215289,-0.00096793612,0.001051307,0.50319716
5.6014692,0.97504683,-0.00091858129,0.0011990173,0.50230139
5.6421971,0.99041815,-0.00086713839,0.0011891803,0.50196338
5.6917655,0.98290705,-0.00080699401,0.0010729237,0.50194979
5.7474671,0.93685281,-0.00074207628,0.00079123096,0.50250349
5.7976891,0.8942529,-0.00068757967,0.0005387533,0.50302706
5.8384083,0.95173468,-0.00065150512,0.00072473951,0.50209001
5.8766364,0.98543704,-0.00061847833,0.00081648161,0.50151603
5.9214616,0.98849556,-0.00057998948,0.00077436223,0.5013896
5.9755621,0.96478586,-0.00053512781,0.00061308277,0.5016507
6,0.99544494,-0.00051838423,0.00071554379,0.50115638
